id,Runs_Scored,Extra_runs,id,Bowler,Striker,strike_position,playerout,wickets,matchdatesk,bowlingteamsk,battingteamsk,matchdate,total_runs,high_runs,bat_skill,bat_Experience,cumulative_overs,bowl_skill,bowl_experience,innings,striker_dob,bowler_dob,matchyear,striker_age,bowler_age,is2017,2013,over,spin,BowlerType,batting_hand
"335992,1,16",13,0,"335992,1,16",31,27,5.0,0,0,20080421,4,3,4/21/2008,13,True,55.0,277.0,1,42.0,190.0,1,1975,1981,2008,33,27,0,0,16,1,off_spin,Left-hand bat
"829728,2,11",9,0,"829728,2,11",322,334,5.0,1,0,20150430,2,0,4/30/2015,9,False,20.0,42.0,0,30.0,105.0,2,1983,1979,2015,32,36,0,0,11,1,off_spin,Right-hand bat
"548358,2,05",7,0,"548358,2,05",140,96,3.0,1,0,20120505,0,9,5/5/2012,7,False,69.0,343.0,0,41.0,154.0,2,1974,1977,2012,38,35,0,0,5,1,off_spin,Right-hand bat
"980962,2,19",8,0,"980962,2,19",418,57,1.0,0,0,20160501,11,6,5/1/2016,8,False,114.0,562.0,0,6.0,29.0,2,1975,1994,2016,41,22,0,0,19,1,leg_spin,Right-hand bat
"501230,2,14",11,0,"501230,2,14",35,192,3.0,0,1,20110424,8,4,4/24/2011,11,False,10.0,60.0,0,83.0,325.0,2,1979,1985,2011,32,26,0,0,14,1,off_spin,Right-hand bat
"598046,2,18",11,1,"598046,2,18",71,320,5.0,0,0,20130502,2,3,5/2/2013,12,True,47.0,181.0,1,118.0,341.0,2,1975,1980,2013,38,33,0,1,18,0,pace,Left-hand bat
"392244,2,07",6,0,"392244,2,07",131,96,2.0,0,1,20090524,7,1,5/24/2009,6,False,69.0,343.0,0,96.0,318.0,2,1974,1989,2009,35,20,0,0,7,1,off_spin,Right-hand bat
"548312,1,03",5,4,"548312,1,03",190,40,3.0,1,2,20120405,5,0,4/5/2012,9,False,106.0,597.0,0,81.0,272.0,1,1978,1987,2012,34,25,0,0,3,0,pace,Left-hand bat
"981014,1,13",13,1,"981014,1,13",460,96,4.0,0,0,20160522,10,0,5/22/2016,14,True,69.0,343.0,1,18.0,64.0,1,1974,1992,2016,42,24,0,0,13,0,pace,Right-hand bat
"1082613,2,13",5,0,"1082613,2,13",232,21,4.0,1,1,20170421,0,12,4/21/2017,5,False,126.0,545.0,0,93.0,324.0,2,1978,1985,2017,39,32,1,0,13,0,pace,Left-hand bat
"1082613,1,10",8,0,"1082613,1,10",147,40,4.0,0,0,20170421,12,0,4/21/2017,8,False,106.0,597.0,0,23.0,90.0,1,1978,1987,2017,39,30,1,0,10,0,pace,Left-hand bat
